id,word,category,origin_language,priority,hook
1,nostalgia,medical_coinage,greek,10,Coined in 1688 by Swiss medical student Johannes Hofer to describe homesick mercenary soldiers; nostos (return) + algos (pain).
2,salary,military_roman,latin,5,Roman soldiers were given an allowance to buy salt — sal — and the word for that allowance became 'salary'.
3,quarantine,plague_origin,italian,5,From Venetian 'quaranta giorni' — forty days that arriving ships had to wait offshore during the 1370s Black Death.
4,sandwich,eponym,english,5,"Named for John Montagu, 4th Earl of Sandwich (1762), who ordered meat between bread so he wouldn't have to leave his gambling table."
5,boycott,eponym,english,5,Captain Charles Boycott was a brutal English land agent in 1880 Ireland; tenants refused to deal with him and his name became the word for the tactic.
6,clue,greek_myth,greek,5,Originally 'clew' — the ball of yarn Ariadne gave Theseus to find his way back out of the Minotaur's labyrinth.
7,panic,greek_myth,greek,5,"The Greek god Pan was said to roam forests at midday, and a sudden inexplicable fear was thought to be his work — 'panikos'."
8,mausoleum,eponym,greek,10,"After King Mausolus of Caria, whose 4th century BC tomb at Halicarnassus was so grand it became one of the Seven Wonders."
9,atlas,greek_myth,greek,5,"From the Titan Atlas, condemned by Zeus to hold up the sky; 16th century mapmaker Mercator put his image on a book of maps and the name stuck."
10,tantalize,greek_myth,greek,5,"From King Tantalus, punished in Hades by being stood in water that receded and beneath fruit that pulled away whenever he reached."
11,companion,compound_hidden,latin,10,Late Latin 'companio' — literally 'with bread'. A companion was someone you broke bread with. (com + panis.)
12,dollar,placename,german,10,From Joachimsthaler — silver coins minted in Joachim's Valley (Bohemia) in the 1500s. Shortened to 'thaler' then anglicized to 'dollar'.
13,tragedy,greek,greek,10,"Greek 'tragōidia' — literally 'goat song'. Probably from goats given as prizes in ancient drama contests, though scholars still argue."
14,nightmare,compound_hidden,old_english,5,The 'mare' isn't a horse — it was an evil spirit in Germanic folklore that sat on sleepers' chests and gave them bad dreams.
15,disaster,astrological,italian,5,From Italian 'disastro' — 'dis-' (bad) + 'astro' (star). A disaster was originally a calamity blamed on a malevolent planetary alignment.
16,denim,placename,french,10,From 'serge de Nîmes' — a sturdy twill from the French town of Nîmes. 'De Nîmes' compressed to 'denim'.
17,ketchup,east_asian,malay,10,"From Hokkien 'kê-tsiap' — a fermented fish sauce from coastal China. British sailors picked it up, swapped fish for tomato, and the modern condiment was born."
18,algebra,arabic_loanword,arabic,10,From the 9th century Persian mathematician al-Khwarizmi's book on 'al-jabr' — Arabic for 'restoration' or 'completion'.
19,alcohol,arabic_loanword,arabic,5,From Arabic 'al-kuhl' — originally a finely powdered antimony eye makeup. The meaning drifted through 'any fine essence' to 'distilled spirit'.
20,assassin,arabic_loanword,arabic,5,"From Arabic 'hashashin' — a medieval Persian Shia sect whose members were rumored, perhaps unfairly, to use hashish before political killings."
